filename,pupil_x,pupil_y
gaze_pxm15p0_pym15p0_256.webp,-15.0,-15.0
gaze_pxm12p5_pym15p0_256.webp,-12.5,-15.0
gaze_pxm10p0_pym15p0_256.webp,-10.0,-15.0
gaze_pxm7p5_pym15p0_256.webp,-7.5,-15.0
gaze_pxm5p0_pym15p0_256.webp,-5.0,-15.0
gaze_pxm2p5_pym15p0_256.webp,-2.5,-15.0
gaze_px0p0_pym15p0_256.webp,0.0,-15.0
gaze_px2p5_pym15p0_256.webp,2.5,-15.0
gaze_px5p0_pym15p0_256.webp,5.0,-15.0
gaze_px7p5_pym15p0_256.webp,7.5,-15.0
gaze_px10p0_pym15p0_256.webp,10.0,-15.0
gaze_px12p5_pym15p0_256.webp,12.5,-15.0
gaze_px15p0_pym15p0_256.webp,15.0,-15.0
gaze_pxm15p0_pym12p5_256.webp,-15.0,-12.5
gaze_pxm12p5_pym12p5_256.webp,-12.5,-12.5
gaze_pxm10p0_pym12p5_256.webp,-10.0,-12.5
gaze_pxm7p5_pym12p5_256.webp,-7.5,-12.5
gaze_pxm5p0_pym12p5_256.webp,-5.0,-12.5
gaze_pxm2p5_pym12p5_256.webp,-2.5,-12.5
gaze_px0p0_pym12p5_256.webp,0.0,-12.5
gaze_px2p5_pym12p5_256.webp,2.5,-12.5
gaze_px5p0_pym12p5_256.webp,5.0,-12.5
gaze_px7p5_pym12p5_256.webp,7.5,-12.5
gaze_px10p0_pym12p5_256.webp,10.0,-12.5
gaze_px12p5_pym12p5_256.webp,12.5,-12.5
gaze_px15p0_pym12p5_256.webp,15.0,-12.5
gaze_pxm15p0_pym10p0_256.webp,-15.0,-10.0
gaze_pxm12p5_pym10p0_256.webp,-12.5,-10.0
gaze_pxm10p0_pym10p0_256.webp,-10.0,-10.0
gaze_pxm7p5_pym10p0_256.webp,-7.5,-10.0
gaze_pxm5p0_pym10p0_256.webp,-5.0,-10.0
gaze_pxm2p5_pym10p0_256.webp,-2.5,-10.0
gaze_px0p0_pym10p0_256.webp,0.0,-10.0
gaze_px2p5_pym10p0_256.webp,2.5,-10.0
gaze_px5p0_pym10p0_256.webp,5.0,-10.0
gaze_px7p5_pym10p0_256.webp,7.5,-10.0
gaze_px10p0_pym10p0_256.webp,10.0,-10.0
gaze_px12p5_pym10p0_256.webp,12.5,-10.0
gaze_px15p0_pym10p0_256.webp,15.0,-10.0
